ETOX mole frac,mole flow (kmol/h),number of stages,feed stage,reflux ratio,condenser duty (GJ/h),reboiler duty (GJ/h)
0.974502988,261.8,9,3,1,-15.6021917,28.798427
0.971250146,261.8,9,3,2,-23.4346914,36.5277838
0.978201923,261.8,9,4,1,-15.6967756,29.0047112
0.977422156,261.8,9,4,2,-23.5296652,36.8149074
0.978666077,261.8,9,5,1,-23.5528037,36.8747254
0.978666087,261.8,9,5,2,-23.5529318,36.8748108
0.978879593,261.8,9,5,3,-31.4081457,44.7366402
0.974492022,261.8,10,3,1,-15.5999451,28.7968593
0.971245473,261.8,10,3,2,-23.4375038,36.5291295
0.978198778,261.8,10,4,1,-15.6968174,29.0045358
0.977371955,261.8,10,4,2,-23.5300201,36.813286
0.978893825,261.8,10,5,1,-15.704194,29.0331454
0.978995692,261.8,10,5,2,-23.5588868,36.8906303
0.978695575,261.8,10,6,1,-15.7024384,29.0251358
0.978963117,261.8,10,6,2,-23.5580057,36.8888716
0.978991838,261.8,10,6,3,-31.4117672,44.7433927
0.97898721,261.8,11,5,1,-15.7058101,29.0373072
0.979003699,261.8,11,5,2,-23.5591524,36.8910953
0.979004566,261.8,11,5,3,-31.4122531,44.7442147
0.979004735,261.8,11,5,4,-39.2653249,52.5972909
0.978936589,261.8,11,6,1,-15.7054132,29.0352855
0.978999702,261.8,11,6,2,-23.5591222,36.8909315
0.979003476,261.8,11,6,3,-31.4122159,44.7441476
0.979004329,261.8,11,6,4,-39.2653075,52.5972624
0.978700581,261.8,11,7,1,-15.7022215,29.025207
0.978963903,261.8,11,7,2,-23.5585261,36.8892468
0.978992081,261.8,11,7,3,-31.4118248,44.7434445
0.978999482,261.8,11,7,4,-39.2651015,52.5969232
0.974460959,261.8,12,3,1,-15.6031745,28.7973303
0.971251899,261.8,12,3,2,-23.4368461,36.5287996
0.978190095,261.8,12,4,1,-15.6969024,29.0045013
0.977375307,261.8,12,4,2,-23.5276904,36.8119234
0.979002119,261.8,12,5,1,-15.7056472,29.0377605
0.979004683,261.8,12,5,2,-23.5591875,36.8911541
0.978994252,261.8,12,6,1,-15.7060032,29.0376555
0.979004192,261.8,12,6,2,-23.5591857,36.8911353
0.978191799,261.8,13,4,1,-15.6990708,29.0051789
0.977374617,261.8,13,4,2,-23.5276358,36.8118866
0.979004409,261.8,13,5,1,-15.7061084,29.0380735
0.979004803,261.8,13,5,2,-23.5591959,36.891164
0.979003208,261.8,13,6,1,-15.7061129,29.0380325
0.979004743,261.8,13,6,2,-23.5591959,36.8911619
0.979004757,261.8,14,5,1,-15.7057307,29.0378971
0.979004818,261.8,14,5,2,-23.5591732,36.8911494
0.979004575,261.8,14,5,1,-15.7061285,29.0380895
0.979004811,261.8,14,5,2,-23.5591972,36.8911651
0.97900482,261.8,90,18,12.96,-109.632578,122.964275
